STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),life_sat,Life satisfaction,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EU27_2020,European Union - 27 countries (from 2020),2023,,7.3,,e,estimated,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EU27_2020,European Union - 27 countries (from 2020),2024,,7.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,EU27_2020,European Union - 27 countries (from 2020),2025,,7.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FI,Finland,2013,,8.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FI,Finland,2018,,8.1,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FI,Finland,2021,,8.1,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FI,Finland,2022,,7.9,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FI,Finland,2023,,7.8,,b,break in time series,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FI,Finland,2024,,7.8,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FI,Finland,2025,,7.8,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FR,France,2013,,7.1,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FR,France,2018,,7.3,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FR,France,2021,,6.8,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FR,France,2022,,7.0,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FR,France,2023,,7.1,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FR,France,2024,,7.1,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,FR,France,2025,,7.1,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HR,Croatia,2013,,6.4,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HR,Croatia,2018,,6.3,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HR,Croatia,2021,,6.8,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HR,Croatia,2022,,6.8,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HR,Croatia,2023,,7.1,,b,break in time series,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HR,Croatia,2024,,7.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HR,Croatia,2025,,7.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HU,Hungary,2013,,6.1,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HU,Hungary,2018,,6.5,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HU,Hungary,2021,,6.5,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HU,Hungary,2022,,6.9,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HU,Hungary,2023,,7.2,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HU,Hungary,2024,,7.1,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,HU,Hungary,2025,,7.1,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IE,Ireland,2013,,7.5,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IE,Ireland,2018,,8.1,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IE,Ireland,2021,,7.3,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IE,Ireland,2022,,7.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IE,Ireland,2023,,7.6,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IE,Ireland,2024,,7.5,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IE,Ireland,2025,,7.6,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IS,Iceland,2013,,8.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IS,Iceland,2018,,8.1,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IT,Italy,2013,,6.6,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IT,Italy,2018,,7.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IT,Italy,2021,,7.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IT,Italy,2022,,7.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IT,Italy,2023,,7.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IT,Italy,2024,,7.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,IT,Italy,2025,,7.1,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LT,Lithuania,2013,,6.7,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LT,Lithuania,2018,,6.4,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LT,Lithuania,2021,,7.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LT,Lithuania,2022,,7.1,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LT,Lithuania,2023,,7.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LT,Lithuania,2024,,7.2,,p,provisional,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LT,Lithuania,2025,,7.3,,p,provisional,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LU,Luxembourg,2013,,7.4,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LU,Luxembourg,2018,,7.5,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LU,Luxembourg,2021,,7.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LU,Luxembourg,2022,,7.2,,b,break in time series,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LU,Luxembourg,2023,,7.3,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LU,Luxembourg,2024,,7.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LU,Luxembourg,2025,,7.4,,b,break in time series,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LV,Latvia,2013,,6.5,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LV,Latvia,2018,,6.7,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LV,Latvia,2021,,6.7,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LV,Latvia,2022,,6.8,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LV,Latvia,2023,,6.9,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LV,Latvia,2024,,6.9,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,LV,Latvia,2025,,6.9,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ME,Montenegro,2013,,5.7,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ME,Montenegro,2018,,6.5,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ME,Montenegro,2021,,6.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ME,Montenegro,2022,,5.8,,b,break in time series,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,ME,Montenegro,2023,,6.6,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MK,North Macedonia,2013,,,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MK,North Macedonia,2018,,6.0,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MK,North Macedonia,2021,,5.7,,b,break in time series,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MK,North Macedonia,2022,,5.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MK,North Macedonia,2023,,5.8,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MK,North Macedonia,2024,,6.2,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MT,Malta,2013,,7.1,,u,low reliability,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MT,Malta,2018,,7.5,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MT,Malta,2021,,7.1,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MT,Malta,2022,,7.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MT,Malta,2023,,7.4,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MT,Malta,2024,,7.5,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,MT,Malta,2025,,7.6,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,NL,Netherlands,2013,,7.8,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,NL,Netherlands,2018,,7.7,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,NL,Netherlands,2021,,7.7,,,,,
dataflow,ESTAT:ILC_PW01$DEFAULTVIEW(1.0),"Overall life satisfaction by sex, age and educational attainment",A,Annual,AVG,Average,RTG,Rating (0-10),TOTAL,All ISCED 2011 levels,LIFE,Life as a whole,T,Total,Y_GE16,16 years or over,NL,Netherlands,2022,,7.7,,,,,
